canonical_id,canonical_name,detloc,facility_type,facility_type_wiki,state,address,city,zip,county,lat,lon,aor,date_first_use,date_last_use,address_source
2092,Las Vegas Hold Room,LVGHOLD,hold_room,ICE Hold Room,NV,3373 PEPPER LANE,LAS VEGAS,89120,CLARK,36.0583473,-115.2251266,SLC,2008-10-22,2017-10-29,marshall_project
2093,Reno Hold Room,RENHOLD,hold_room,ICE Hold Room,NV,"911 E Parr Blvd, Reno, NV 89512",RENO,89512,WASHOE,39.5729049,-119.8094503,SLC,2012-04-26,2017-10-23,marshall_project
2094,Albany Holdroom,ALBHOLD,hold_room,ICE Hold Room,NY,1086 TROY-SCHENECTADY RD,LATHAM,12110,ALBANY,42.7533809,-73.769379,BUF,2016-05-25,2017-06-14,marshall_project
2095,Buffalo Usbp Hold Room,CBPHOLD,cbp,CBP Hold Facility,NY,250 Delaware Avenue Floor 7,Buffalo,14202,NA,NA,NA,NA,NA,NA,ero_directory
2096,Batavia Command Center Holdroom,CMDHOLD,command_center,ICE Command Center,NY,4250 FEDERAL DRIVE,Batavia,NA,NA,43,-78.2,NA,NA,NA,marshall_city_match
2097,Cincinnati Holdroom,CINHOLD,hold_room,ICE Hold Room,OH,9875 Redhill Drive,Blue Ash,45242,NA,NA,NA,NA,NA,NA,ero_directory
2098,Cleveland Hold Room,CLEHOLD,hold_room,ICE Hold Room,OH,"1240 E. 9TH STREET, ROOM 585",CLEVELAND,44199,CUYAHOGA,41.504901,-81.691781,DET,2012-06-11,2017-10-01,marshall_project
2099,Columbus Holdroom,CLMHOLD,hold_room,ICE Hold Room,OH,50 WEST BROAD ST,COLUMBUS,43215,FRANKLIN,39.9623335,-83.00217974,DET,2015-12-11,2015-12-19,marshall_project
2100,Oklahoma City Hold Room.,OKCHOLD,hold_room,ICE Hold Room,OK,4400 SW 44TH STREET,OKLAHOMA CITY,73119,OKLAHOMA CITY,35.42401994,-97.5967341,DAL,2013-03-05,2017-09-12,marshall_project
2101,Eugene Holdroom,EUGHOLD,hold_room,ICE Hold Room,OR,211 EAST 7TH AVENUE,EUGENE,97401,LANE,44.052201,-123.0893848,SEA,2009-12-22,2017-09-27,marshall_project
2102,Medford Sub-Office,MEDHOLD,sub_office,ICE ERO Sub-Office,OR,310 WEST 6TH STREET,MEDFORD,97501,JACKSON,42.32540398,-122.8769674,SEA,1995-10-16,2013-02-25,marshall_project
2103,Portland District Office,POOHOLD,hold_room,ICE Hold Room,OR,1111 SOUTHWEST 2ND AVENUE,PORTLAND,97204,MULTNOMAH,45.5150962,-122.6763292,SEA,1995-11-13,2017-11-02,marshall_project
2104,Pittsburgh Holdroom,PITHOLD,hold_room,ICE Hold Room,PA,3000 SIDNEY ST SUITE 100,PITTSBURGH,15203,ALLEGHENY,40.424825,-79.960811,PHI,2017-08-09,2017-10-12,marshall_project
2105,Pike County ERO Hold Room,PKEHOLD,ero_hold,ICE ERO Hold Room,PA,170 PIKE COUNTY BLVD,HAWLEY,18428,PIKE,41.388359,-75.072108,PHI,NA,NA,marshall_project
2106,San Juan Sub-Office Hold Room,SAJHOLD,sub_office,ICE ERO Sub-Office,PR,"7 Cll TabonucoGuaynabo, 00968, Puerto Rico",GUAYNABO,00968,GUAYNABO,18.406539,-66.106714,MIA,1990-04-20,2017-09-23,marshall_project
2107,San Juan Airport Hold Room,SJUHOLD,hold_room,ICE Hold Room,PR,LUIS MUNOZ MARIN IA,SAN JUAN,00937,SAN JUAN,18.437531,-66.004703,MIA,2015-05-13,2016-09-01,marshall_project
2108,Prohold,PROHOLD,hold_room,ICE Hold Room,RI,443 Jefferson Blvd North Suite,Warwick,02886,NA,NA,NA,NA,NA,NA,ero_directory
2109,"Charleston, Sc Hold Room",CHLHOLD,hold_room,ICE Hold Room,SC,3950 FABER PLACE DR,CHARLESTON,29705,YORK,32.846752,-80.019771,ATL,2017-08-29,2017-11-04,marshall_project
2110,"Columbia, Sc Holdroom",COAHOLD,hold_room,ICE Hold Room,SC,"1835 Assembly St Columbia, SC 29201",COLUMBIA,29201,RICHLAND,34.009224,-81.038982,ATL,2014-08-27,2017-07-25,marshall_project
2111,Greer Hold Room,GRRHOLD,hold_room,ICE Hold Room,SC,"501 Pennsylvania Ave, Greer, SC 29650",GREER,29650,GREENVILLE,34.9371548,-82.2418822,ATL,2017-07-31,2017-08-01,marshall_project
2112,Rapid City Hold Room,RPCHOLD,hold_room,ICE Hold Room,SD,1675 SAMCO ROAD,RAPID CITY,57702,PENNINGTON,44.09919672,-103.2646852,SPM,2010-11-07,2011-07-10,marshall_project
2113,Sioux Falls Hold Room,SFDHOLD,hold_room,ICE Hold Room,SD,300 EAST 8TH STREET,SIOUX FALLS,57103,MINNEHAHA,43.548712,-96.72369,SPM,2011-05-04,2017-06-17,marshall_project
2114,Chattanooga Hold Room,CNGHOLD,hold_room,ICE Hold Room,TN,"3117 Dayton Blvd, Red Bank, TN 37415",CHATTANOOGA,37450,HAMILTON,35.106032,-85.297818,NOL,NA,NA,marshall_project
2115,Knoxville Hold Room,KNXHOLD,hold_room,ICE Hold Room,TN,UNAVAILABLE,KNOXVILLE,37920,KNOX,NA,NA,NOL,NA,NA,marshall_project
2116,Memphis Hold Room,MEMHOLD,hold_room,ICE Hold Room,TN,842 VIRGINIA RUN COVE,MEMPHIS,38122,SHELBY,35.15751129,-89.88252957,NOL,2010-04-02,2017-10-24,marshall_project
2117,Nashville Hold Room,NSVHOLD,hold_room,ICE Hold Room,TN,UNAVAILABLE,NASHVILLE,37201,DAVIDSON,NA,NA,NOL,NA,NA,marshall_project
2118,Amarillo Hold Room,AMTHOLD,hold_room,ICE Hold Room,TX,8601 E. AMARILLO BLVD,AMARILLO,79801,POTTER,35.22253615,-101.7488485,DAL,2013-03-21,2017-05-07,marshall_project
2119,"Athens, Tx Hold Room",ATTHOLD,hold_room,ICE Hold Room,TX,109 W CORSICANA STREET,ATHENS,75751,HENDERSON,32.20444798,-95.85398128,DAL,NA,NA,marshall_project
2120,Austin Dro Hold Room,AUSHOLD,hold_room,ICE Hold Room,TX,300 EAST 8TH STREET,AUSTIN,78701,TRAVIS,30.269638,-97.738978,SNA,2010-06-25,2017-08-01,marshall_project
2121,Big Spring Hold Room,BSCHOLD,hold_room,ICE Hold Room,TX,1701 APRON DRIVE,BIG SPRING,79720,HOWARD,32.225131,-101.514653,DAL,2013-03-08,2017-03-23,marshall_project
2122,Del Rio Dro Hold Room,DLRHOLD,hold_room,ICE Hold Room,TX,2401 DODSON AVENUE,DEL RIO,78840,VAL VERDE,29.393471,-100.899841,SNA,2013-07-01,2017-10-30,marshall_project
2123,Egp Cpc Holding,EPCPCTX,hold_room,ICE Hold Room,TX,11541 Montana Ave Suite E,El Paso,79936,NA,NA,NA,NA,NA,NA,ero_directory
2124,Lubbock Hold Room,LBKHOLD,hold_room,ICE Hold Room,TX,"1205 TEXAS AVE, SUITE 605",LUBBOCK,79401,LUBBOCK,33.58437,-101.845109,DAL,2014-04-26,2017-06-02,marshall_project
2125,Laredo Detention Center Hold Room,LRDHOLD,hold_room,ICE Hold Room,TX,4702 EAST SAUNDERS STREET,LAREDO,78041,WEBB,27.529078,-99.44792,SNA,2011-05-25,2017-06-12,marshall_project
2126,Los Fresnos Hold Room,LSFHOLD,hold_room,ICE Hold Room,TX,"213 Orive Blvd, Los Fresnos, TX 78566",LOS FRESNOS,78566,CAMERON,26.0745673,-97.5121806,SNA,2000-06-12,2016-03-15,marshall_project
2127,"Midland, Tx ERO Holdroom",MLDHOLD,ero_hold,ICE ERO Hold Room,TX,400 S. MAIN STREET,MIDLAND,79701,MIDLAND,31.994252,-102.074372,ELP,2013-02-20,2017-08-20,marshall_project
2128,Pecos Hold Room,PCSHOLD,hold_room,ICE Hold Room,TX,250 EAST PALMER ROAD,PECOS,79772,REEVES,31.3981762,-103.5214509,ELP,2010-03-10,2017-10-02,marshall_project
2129,Pdn Hold Room,PDNHOLD,hold_room,ICE Hold Room,TX,1000 S. EL PASO STREET,EL PASO,79901,EL PASO,31.74968832,-106.4867865,ELP,2012-07-13,2013-05-17,marshall_project
2130,Prairieland Suboffice Hold Room,PRLHOLD,sub_office,ICE ERO Sub-Office,TX,1209 SUNFLOWER LN,ALVARADO,76009,JOHNSON,32.42078539,-97.19690234,DAL,NA,NA,marshall_project
2131,San Angelo Holdroom,SAGHOLD,hold_room,ICE Hold Room,TX,3197 EXECUTIVE DR,SAN ANGELO,76904,TOM GREEN,31.42195134,-100.4640316,DAL,2017-04-02,2017-04-02,marshall_project
2132,South Texas/Pearsall Hold Room,STDHOLD,hold_room,ICE Hold Room,TX,566 VETERAN DRIVE,PEARSALL,78061,FRIO,28.895232,-99.121238,SNA,2011-03-02,2017-10-17,marshall_project
2133,Waco Dro Hold Room,WCTHOLD,hold_room,ICE Hold Room,TX,800 FRANKLIN AVENUE,WACO,76701,MCLENNAN,31.553515,-97.133522,SNA,2010-09-10,2017-09-04,marshall_project
2134,Ogden Hold Room,OGUHOLD,hold_room,ICE Hold Room,UT,"2487 S. 1620 W., UNIT E.",OGDEN,84401,WEBER,41.220537,-112.018854,SLC,NA,NA,marshall_project
2135,Provo Hold Room,PRUHOLD,hold_room,ICE Hold Room,UT,3075 NORTH MAIN,SPANISH FORK,84660,UTAH,40.148962,-111.659712,SLC,NA,NA,marshall_project
2136,"St. George, Ut Holdroom",SGUHOLD,hold_room,ICE Hold Room,UT,UNAVAILABLE,SAINT GEORGE,84770,WASHINGTON,NA,NA,SLC,NA,NA,marshall_project
2137,Harrisonburg Hold Room,HBGHOLD,hold_room,ICE Hold Room,VA,"263 Neff Ave., Harrisonburg, VA 22801",HARRISONBURG,22801,HARRISONBURG,38.4267988,-78.8483885,WAS,2011-07-27,2017-09-18,marshall_project
2138,Norfolk Sub-Office Hold,NORHOLD,sub_office,ICE ERO Sub-Office,VA,5280 HENNEMAN DRIVE,NORFOLK,23513,NORFOLK,36.8761636,-76.22287045,WAS,2010-09-14,2017-05-10,marshall_project
2139,Richmond Sub-Office Hold,RCMHOLD,sub_office,ICE ERO Sub-Office,VA,"400 N 8th St, Richmond, VA 23219",RICHMOND,23219,RICHMOND,37.542324,-77.433933,WAS,2010-07-21,2017-10-29,marshall_project
2140,Charlotte Amalie Holdroom,CHAHOLD,hold_room,ICE Hold Room,VI,"5500, Veterans Dr, St Thomas 00801, U.S. Virgin Islands",ST. THOMAS,00801,ST. THOMAS,18.3223,-64.9637,MIA,2011-06-06,2017-07-26,marshall_project
2141,Saint Albans Hold Room,STAHOLD,hold_room,ICE Hold Room,VT,64 GRICEBROOK ROAD,SAINT ALBANS,05478,COUNTY,44.80115263,-73.07364169,BOS,2014-02-04,2014-08-27,marshall_project
2142,Yakima Sub-Office,YAKHOLD,sub_office,ICE ERO Sub-Office,WA,3701 RIVER ROAD,YAKIMA,98902,YAKIMA,46.61803443,-120.5579912,SEA,2010-06-17,2017-11-04,marshall_project
2143,Milwaukee Holdroom,MILHOLD,hold_room,ICE Hold Room,WI,310 E. KNAPP STREET,MILWAUKEE,53201,MILWAUKEE,43.0475026,-87.9078194,CHI,2011-01-01,2017-10-11,marshall_project
2144,Cheyenne Holdroom,CHYHOLD,hold_room,ICE Hold Room,WY,308 W. 21ST STREET,CHEYENNE,82001,LARAMIE,41.1368002,-104.8198995,DEN,2015-04-30,2015-04-30,marshall_project
2145,Casper Holdroom,CSPHOLD,hold_room,ICE Hold Room,WY,150 E. B STREET,CASPER,82601,NATRONA,42.85207208,-106.3248983,DEN,2010-11-10,2017-10-04,marshall_project
2146,Anchorage Sub-Office Hold Room,ANCHOLD,sub_office,ICE ERO Sub-Office,AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2147,Mobile Holdroom,MOAHOLD,hold_room,ICE Hold Room,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2148,Arizona State Prison - Yuma,AZSVCPC,hold_room,ICE Hold Room,AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2149,Redding Hold Room,REDHOLD,hold_room,ICE Hold Room,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2150,Santa Maria Sub Office ERO,SMAHOLD,sub_office,ICE ERO Sub-Office,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2151,Colo Springs Den Hsi Hold,CSDHOLD,hold_room,ICE Hold Room,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2152,Bowling Green Hold Room,BLGHOLD,hold_room,ICE Hold Room,KY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2153,Salisbury Hold Room,SALHOLD,hold_room,ICE Hold Room,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2154,Duluth Hold Room,DULHOLD,hold_room,ICE Hold Room,MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2155,Mount Laurel Hold Room,MLJHOLD,hold_room,ICE Hold Room,NJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2156,Las Cruces Hold Room,LASHOLD,hold_room,ICE Hold Room,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2157,Roswell Hold Room,RSWHOLD,hold_room,ICE Hold Room,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2158,Champlain Hold Room,CHMHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2159,Central Islip Hold Room,CIPHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2160,Newburgh Holding,NBGHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2161,Syracuse Hold Room,SYRHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2162,Tulsa Hold Room,TULHOLD,hold_room,ICE Hold Room,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2163,Williamsport Hold Room,WPOHOLD,hold_room,ICE Hold Room,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2164,York Hold Room,YRKHOLD,hold_room,ICE Hold Room,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2165,Corpus Christi Eor Hold Room,CRPHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2166,Mcallen Hold Room,MCAHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2167,Montgomery Hold Rm,MTGHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2168,"Lorton, Va Hold Room",LTVHOLD,hold_room,ICE Hold Room,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2169,Roanoke Sub-Office Hold Room,RMKHOLD,sub_office,ICE ERO Sub-Office,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2170,Ferndale Hold Room,FDLHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2171,Richland Hold Room,RICHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2172,Spokane Hold Room,SPOHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2173,Wenatchee Hold Room,WNTHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
